,word,ort,pho,wf,frequency,pho_consistency,imageability
0,ball,__ba_ll___,__bal_____,1393,HF,INC,HI
1,bank,__ba_nk___,__b@nk____,53170,HF,CON,HI
2,beach,__beach___,__biC_____,1691,HF,CON,HI
3,beak,__beak____,__bik_____,10,LF,INC,HI
4,beard,__beard___,__bird____,210,LF,INC,HI
5,bed,__be_d____,__bEd_____,665,HF,CON,HI
6,blink,_bli_nk___,_blInk____,53,LF,CON,LI
7,block,_blo_ck___,_blak_____,4366,HF,CON,LI
8,booth,__booth___,__buT_____,226,LF,INC,LI
9,bowl,__bowl____,__bol_____,462,LF,INC,HI
10,box,__bo_x____,__baks____,1497,HF,CON,HI
11,breath,_breath___,_brET_____,245,HF,INC,LI
12,bribe,_bri_be___,_brAb_____,182,LF,CON,LI
13,bridge,_bri_dge__,_brIJ_____,1301,HF,CON,HI
14,broad,_broad____,_brad_____,3234,HF,INC,LI
15,broom,_broom____,_brum_____,44,LF,CON,HI
16,bunch,__bu_nch__,__b^nC____,483,LF,CON,LI
17,cage,__ca_ge___,__keJ_____,112,LF,CON,HI
18,cake,__ca_ke___,__kek_____,210,LF,CON,HI
19,card,__ca_rd___,__kard____,3178,LF,INC,HI
20,care,__ca_re___,__kEr_____,10293,HF,INC,LI
21,cave,__ca_ve___,__kev_____,201,LF,INC,HI
22,chair,_chair____,__CEr_____,427,HF,CON,HI
23,chalk,_cha_lk___,__Calk____,77,LF,CON,HI
24,child,_chi_ld___,__CAld____,3095,HF,INC,HI
25,choose,_choose___,__Cuz_____,1619,HF,INC,LI
26,church,_chu_rch__,__C^rC____,2079,HF,CON,HI
27,claw,_claw_____,_kla______,18,LF,CON,HI
28,clean,_clean____,_klin_____,1737,HF,CON,LI
29,clown,_clown____,_klWn_____,55,LF,INC,HI
30,clue,_clue_____,_klu______,163,LF,CON,LI
31,cost,__co_st___,__kast____,17560,HF,INC,LI
32,couch,__couch___,__kWC_____,138,LF,INC,HI
33,cross,_cro_ss___,_kras_____,2107,HF,INC,HI
34,crow,_crow_____,_kro______,204,LF,INC,HI
35,curse,__cu_rse__,__k^rs____,68,LF,CON,LI
36,cut,__cu_t____,__k^t_____,12302,HF,INC,LI
37,dance,__da_nce__,__d@ns____,875,HF,CON,HI
38,deal,__deal____,__dil_____,7957,HF,INC,LI
39,deep,__deep____,__dip_____,2169,HF,CON,LI
40,dime,__di_me___,__dAm_____,209,LF,CON,HI
41,dog,__do_g____,__dag_____,1006,HF,INC,HI
42,dull,__du_ll___,__d^l_____,414,LF,INC,LI
43,face,__fa_ce___,__fes_____,8824,HF,CON,HI
44,fast,__fa_st___,__f@st____,4058,HF,CON,LI
45,fault,__fault___,__falt____,556,LF,CON,LI
46,fear,__fear____,__fir_____,4321,HF,INC,LI
47,fine,__fi_ne___,__fAn_____,3133,HF,CON,LI
48,five,__fi_ve___,__fAv_____,20929,HF,INC,HI
49,floor,_floor____,_flor_____,3171,HF,INC,HI
50,flute,_flu_te___,_flut_____,55,LF,CON,HI
51,foe,__foe_____,__fo______,184,LF,INC,LI
52,food,__food____,__fud_____,10915,HF,INC,HI
53,foot,__foot____,__fUt_____,1258,HF,INC,HI
54,fork,__fo_rk___,__fork____,69,LF,INC,HI
55,frail,_frail____,_frel_____,83,LF,CON,LI
56,friend,_friend___,_frEnd____,2123,HF,INC,HI
57,front,_fro_nt___,_fr^nt____,4345,HF,INC,LI
